geneId:ID,name,:LABEL
AGXT,AGXT,Gene
AGXT2,AGXT2,Gene
AHA1,AHA1,Gene
AHA10,AHA10,Gene
AHBP-1B,AHBP-1B,Gene
AHC1,AHC1,Gene
AHC2,AHC2,Gene
AHCTF1,AHCTF1,Gene
AHCY,AHCY,Gene
AHCYL1,AHCYL1,Gene
AHCYL2,AHCYL2,Gene
AHDC1,AHDC1,Gene
AHG1,AHG1,Gene
AHI1,AHI1,Gene
AHL1,AHL1,Gene
AHL20,AHL20,Gene
AHL22,AHL22,Gene
AHNAK,AHNAK,Gene
AHNAK2,AHNAK2,Gene
AHP1,AHP1,Gene
AHP2,AHP2,Gene
AHP3,AHP3,Gene
AHP4,AHP4,Gene
AHP5,AHP5,Gene
AHR,AHR,Gene
AHR1,AHR1,Gene
AHRR,AHRR,Gene
AHSA1,AHSA1,Gene
AHSA2,AHSA2,Gene
AHSG,AHSG,Gene
AHSP,AHSP,Gene
AI1,AI1,Gene
AI2,AI2,Gene
AI3,AI3,Gene
AI314180,AI314180,Gene
AI4,AI4,Gene
AI464131,AI464131,Gene
AI5_ALPHA,AI5_ALPHA,Gene
AI5_BETA,AI5_BETA,Gene
AI837181,AI837181,Gene
AIB,AIB,Gene
AICDA,AICDA,Gene
AIDA,AIDA,Gene
AIF,AIF,Gene
AIF1,AIF1,Gene
AIF1L,AIF1L,Gene
AIFM1,AIFM1,Gene
AIFM2,AIFM2,Gene
AIFM3,AIFM3,Gene
AIG1,AIG1,Gene
AIG2,AIG2,Gene
AILP1,AILP1,Gene
AIM1,AIM1,Gene
AIM10,AIM10,Gene
AIM11,AIM11,Gene
AIM14,AIM14,Gene
AIM17,AIM17,Gene
AIM18,AIM18,Gene
AIM19,AIM19,Gene
AIM2,AIM2,Gene
AIM20,AIM20,Gene
AIM21,AIM21,Gene
AIM22,AIM22,Gene
AIM23,AIM23,Gene
AIM24,AIM24,Gene
AIM25,AIM25,Gene
AIM26,AIM26,Gene
AIM29,AIM29,Gene
AIM3,AIM3,Gene
AIM32,AIM32,Gene
AIM33,AIM33,Gene
AIM34,AIM34,Gene
AIM36,AIM36,Gene
AIM39,AIM39,Gene
AIM4,AIM4,Gene
AIM41,AIM41,Gene
AIM44,AIM44,Gene
AIM45,AIM45,Gene
AIM46,AIM46,Gene
AIM6,AIM6,Gene
AIM7,AIM7,Gene
AIM9,AIM9,Gene
AIMP1,AIMP1,Gene
AIMP2,AIMP2,Gene
AIP,AIP,Gene
AIP1,AIP1,Gene
AIP3,AIP3,Gene
AIPL1,AIPL1,Gene
AIR1,AIR1,Gene
AIR2,AIR2,Gene
AIRE,AIRE,Gene
AJAP1,AJAP1,Gene
AJUBA,AJUBA,Gene
AK-HSDH I,AK-HSDH I,Gene
AK-LYS1,AK-LYS1,Gene
AK1,AK1,Gene
AK2,AK2,Gene
AK3,AK3,Gene
AK4,AK4,Gene
AK5,AK5,Gene
AK7,AK7,Gene
AK8,AK8,Gene
AK9,AK9,Gene
AKAP1,AKAP1,Gene
AKAP10,AKAP10,Gene
AKAP11,AKAP11,Gene
AKAP12,AKAP12,Gene
AKAP13,AKAP13,Gene
AKAP14,AKAP14,Gene
AKAP17A,AKAP17A,Gene
AKAP2,AKAP2,Gene
AKAP3,AKAP3,Gene
AKAP4,AKAP4,Gene
AKAP5,AKAP5,Gene
AKAP6,AKAP6,Gene
AKAP7,AKAP7,Gene
AKAP8,AKAP8,Gene
AKAP8L,AKAP8L,Gene
AKAP9,AKAP9,Gene
AKINBETA1,AKINBETA1,Gene
AKIP1,AKIP1,Gene
AKIRIN1,AKIRIN1,Gene
AKIRIN2,AKIRIN2,Gene
AKL1,AKL1,Gene
AKN2,AKN2,Gene
AKNA,AKNA,Gene
AKNAD1,AKNAD1,Gene
AKR1,AKR1,Gene
AKR1A1,AKR1A1,Gene
AKR1B1,AKR1B1,Gene
AKR1B10,AKR1B10,Gene
AKR1B15,AKR1B15,Gene
AKR1C1,AKR1C1,Gene
AKR1C2,AKR1C2,Gene
AKR1C3,AKR1C3,Gene
AKR1C4,AKR1C4,Gene
AKR1D1,AKR1D1,Gene
AKR2,AKR2,Gene
AKR2B,AKR2B,Gene
AKR7A2,AKR7A2,Gene
AKR7A2P1,AKR7A2P1,Gene
AKR7A3,AKR7A3,Gene
AKR7L,AKR7L,Gene
AKRP,AKRP,Gene
AKT1,AKT1,Gene
AKT1S1,AKT1S1,Gene
AKT2,AKT2,Gene
AKT3,AKT3,Gene
AKTIP,AKTIP,Gene
AL1,AL1,Gene
AL2,AL2,Gene
AL3,AL3,Gene
AL4,AL4,Gene
AL5,AL5,Gene
AL6,AL6,Gene
AL7,AL7,Gene
ALA1,ALA1,Gene
ALA2,ALA2,Gene
ALA3,ALA3,Gene
ALAD,ALAD,Gene
ALAS1,ALAS1,Gene
ALAS2,ALAS2,Gene
ALATS,ALATS,Gene
ALB,ALB,Gene
ALB1,ALB1,Gene
ALB3,ALB3,Gene
ALC,ALC,Gene
ALCAM,ALCAM,Gene
ALD2,ALD2,Gene
ALD3,ALD3,Gene
ALD4,ALD4,Gene
ALD5,ALD5,Gene
ALD6,ALD6,Gene
ALDH11A3,ALDH11A3,Gene
ALDH16A1,ALDH16A1,Gene
ALDH18A1,ALDH18A1,Gene
ALDH1A1,ALDH1A1,Gene
ALDH1A2,ALDH1A2,Gene
ALDH1A3,ALDH1A3,Gene
ALDH1B1,ALDH1B1,Gene
ALDH1L2,ALDH1L2,Gene
ALDH2,ALDH2,Gene
ALDH2B4,ALDH2B4,Gene
ALDH2C4,ALDH2C4,Gene
ALDH3A1,ALDH3A1,Gene
ALDH3A2,ALDH3A2,Gene
ALDH3B1,ALDH3B1,Gene
